top - 18:02:48 up  9:19,  1 user,  load average: 3,61, 2,35, 2,33
Tarefas: 376 total,   1 em exec., 374 dormindo,   0 parado,   1 zumbi
%Cpu(s): 25,5 us,  5,5 sy,  0,0 ni, 69,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MB mem :  15890,1 total,   5869,9 livre,   4518,7 usados,   5501,5 buff/cache
MB swap:   7812,0 total,   7812,0 livre,      0,0 usados,  10855,0 mem dispon.

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
  29388 root      20   0       0      0      0 I   0,0   0,0   0:00.87 kworker/0:0-mm_percpu_wq
  29950 root      20   0       0      0      0 I   0,0   0,0   0:03.18 kworker/u24:1-writeback
  30047 root       0 -20       0      0      0 I   0,0   0,0   0:04.54 kworker/u25:1-rb_allocator
  30341 gabriel+  20   0 3036516  54148  37168 S   0,0   0,3   0:05.42 gjs
  30583 root      20   0       0      0      0 I   0,0   0,0   0:00.57 kworker/2:3-mm_percpu_wq
  32510 root       0 -20       0      0      0 I   0,0   0,0   0:04.44 kworker/u25:0-rb_allocator
  33022 gabriel+  20   0   36,8g 168512 123932 S   0,0   1,0   0:23.51 code
  33024 gabriel+  20   0   32,4g  50532  41748 S   0,0   0,3   0:00.03 code
  33025 gabriel+  20   0   32,4g  50276  41548 S   0,0   0,3   0:00.03 code
  33037 gabriel+  20   0   32,0g   2296   2112 S   0,0   0,0   0:00.00 chrome_crashpad
  33086 gabriel+  20   0   32,5g  70572  59648 S   0,0   0,4   0:01.45 code
  33134 gabriel+  20   0   32,7g 179396 148028 S   0,0   1,1   4:23.10 code
  33169 gabriel+  20   0   36,6g 180080  67284 S   0,0   1,1   0:36.80 code
  33181 gabriel+  20   0   44,7g 150996 104172 S   0,0   0,9   0:17.30 code
  33202 gabriel+  20   0   36,6g  89920  61404 S   0,0   0,6   0:07.67 code
  33226 gabriel+  20   0   36,6g  78300  61296 S   0,0   0,5   0:06.57 code
  33309 gabriel+  20   0   15292   9348   3880 S   0,0   0,1   0:00.10 bash
  34074 uuidd     20   0   11804   1488   1272 S   0,0   0,0   0:00.10 uuidd
  85349 gabriel+  20   0   36,6g  89324  59572 S   0,0   0,5   0:03.30 code
  91298 root      20   0       0      0      0 I   0,0   0,0   0:00.22 kworker/9:0-events
  98117 gabriel+  20   0 1268144  76744  54968 S   0,0   0,5   0:03.17 nautilus
 100572 root      20   0       0      0      0 I   0,0   0,0   0:00.33 kworker/3:2-events
 102039 root      20   0       0      0      0 I   0,0   0,0   0:00.29 kworker/8:2-mm_percpu_wq
 105163 root      20   0       0      0      0 I   0,0   0,0   0:00.24 kworker/7:1-events
 115866 gabriel+  20   0 1213000 153720  58812 S   0,0   0,9   0:05.61 evince
 115946 gabriel+  20   0  156784   4524   4188 S   0,0   0,0   0:00.00 evinced
 117232 root      20   0       0      0      0 I   0,0   0,0   0:01.59 kworker/u24:3-ext4-rsv-conversion
 143000 root      20   0       0      0      0 I   0,0   0,0   0:00.22 kworker/11:1-events
 156543 gabriel+  20   0 1264728 136700  58748 S   0,0   0,8   0:01.98 evince
 164476 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/6:0
 165177 root      20   0       0      0      0 I   0,0   0,0   0:00.97 kworker/u24:2-flush-8:16
 180225 root      20   0       0      0      0 I   0,0   0,0   0:00.10 kworker/10:0-events
 181642 root       0 -20       0      0      0 I   0,0   0,0   0:02.58 kworker/u25:3-i915_flip
 205628 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/0:2
 221978 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/7:2-events
 222790 root      20   0       0      0      0 I   0,0   0,0   0:01.26 kworker/1:2-events
 224950 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/2:1-events
 244030 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/5:0-events
 254865 root      20   0       0      0      0 I   0,0   0,0   0:00.01 kworker/1:1-events
 257655 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworker/10:1-cgroup_destroy
 263679 root      20   0       0      0      0 I   0,0   0,0   0:00.06 kworker/4:2-mm_percpu_wq
 265579 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/3:0-events
 270332 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/8:1
 270654 gabriel+  20   0 1129,9g 147852 107604 S   0,0   0,9   0:02.32 chrome
 272423 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/11:0
 281929 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker/9:2-events
 282959 gabriel+  20   0   50,7g 347616 156372 S   0,0   2,1   0:30.57 code
 283071 gabriel+  20   0   36,6g 196040  68600 S   0,0   1,2   0:08.19 code
 283152 gabriel+  20   0   36,6g  76444  59948 S   0,0   0,5   0:00.35 code
 283333 gabriel+  20   0   36,6g 106668  61988 S   0,0   0,7   0:00.85 code
 283334 gabriel+  20   0   36,6g 244444  60884 S   0,0   1,5   0:18.20 code
 283365 gabriel+  20   0   36,6g  90352  55576 S   0,0   0,6   0:00.54 code
 283744 gabriel+  20   0   36,6g 159888  60516 S   0,0   1,0   0:07.88 code
 295405 gabriel+  20   0 1129,9g 176688 117444 S   0,0   1,1   0:09.03 chrome
 295875 gabriel+  20   0 1129,9g 119764  90440 S   0,0   0,7   0:01.69 chrome
 295925 gabriel+  20   0 1129,9g 108368  83436 S   0,0   0,7   0:00.47 chrome
 296947 gabriel+  20   0 1129,9g  64892  49116 S   0,0   0,4   0:00.02 chrome
 301406 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker/7:0-mm_percpu_wq
 302300 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker/11:2-mm_percpu_wq
 306292 root      20   0       0      0      0 I   0,0   0,0   0:00.01 kworker/9:1-mm_percpu_wq
 317005 gabriel+  20   0  418104  81288  24396 S   0,0   0,5   0:02.36 python3
 320686 gabriel+  20   0 1130,9g  80736  63160 S   0,0   0,5   0:00.03 chrome
 322940 gabriel+  20   0       0      0      0 Z   0,0   0,0   0:00.00 sh
 322977 gabriel+  20   0    2892    944    844 S   0,0   0,0   0:00.00 sh
iel+  20   0   13776   4504   3680 S   0,0   0,0   0:00.00 top
